city,population
Panama ,235
Panora ,1091
Panorama Park ,139
Park View CDP,2709
Parkersburg ,2015
Parnell ,194
Paton ,221
Patterson ,176
Paullina ,982
Pella ,10464
Peosta ,1908
Percival CDP,53
Perry ,7836
Persia ,297
Peterson ,322
Pierson ,337
Pilot Mound ,163
Pisgah ,249
Plainfield ,393
Plainview CDP,19
Plano ,59
Pleasant Hill ,10147
Pleasant Plain ,84
Pleasanton ,32
Pleasantville ,1676
Plover ,50
Plymouth ,375
Pocahontas ,1867
Polk City ,5543
Pomeroy ,526
Popejoy ,77
Portland CDP,28
Portsmouth ,182
Postville ,2503
Prairie City ,1700
Prairieburg ,160
Prescott ,191
Preston ,949
Primghar ,896
Princeton ,923
Promise City ,88
Protivin ,269
Pulaski ,264
Quasqueton ,570
Quimby ,249
Radcliffe ,555
Rake ,186
Ralston ,81
Randalia ,50
Randall ,154
Randolph ,189
Rathbun ,43
Raymond ,759
Readlyn ,845
Reasnor ,152
Red Oak ,5596
Redding ,63
Redfield ,731
Reinbeck ,1662
Rembrandt ,209
Remsen ,1678
Renwick ,234
Rhodes ,271
Riceville ,806
Richland ,542
Rickardsville ,202
Ricketts ,109
Ridgeway ,275
Rinard ,38
Ringsted ,365
Rippey ,220
River Sioux CDP,42
Riverdale ,379
Riverside ,1060
Riverton ,245
Robins ,3353
Rochester CDP,142
Rock Falls ,150
Rock Rapids ,2611
Rock Valley ,4059
Rockford ,758
Rockwell ,1071
Rockwell City ,2240
Rodman ,31
Rodney ,45
Roland ,1362
Rolfe ,509
Rome ,114
Rose Hill ,157
Roseville CDP,39
Rossie ,49
Rowan ,123
Rowley ,270
Royal ,379
Rudd ,358
Runnells ,457
Russell ,472
Ruthven ,725
Rutland ,113
Ryan ,350
Sabula ,506
Sac City ,2063
Sageville ,95
Salem ,394
Salix ,295
Sanborn ,1392
Sandusky CDP,297
Sandyville ,58
Saylorville CDP,3584
Scarville ,74
Schaller ,729
Schleswig ,830
Scranton ,511
Searsboro ,129
Sergeant Bluff ,5015
Sexton CDP,46
Seymour ,634
Shambaugh ,159
Shannon City ,73
Sharpsburg ,72
Sheffield ,1130
Shelby ,727
Sheldahl ,297
Sheldon ,5512
Shell Rock ,1268
Shellsburg ,961
Shenandoah ,4925
Sherrill ,189
Shueyville ,731
Sibley ,2860
Sidney ,1070
Sigourney ,2004
Silver City ,245
Sioux Center ,8229
Sioux City ,85797
Sioux Rapids ,748
Slater ,1543
Sloan ,1042
Smithland ,181
Soldier ,184
